filename,class,dice,iou
benign (342).png,benign,1.5248551385292991e-10,1.5248551385292991e-10
benign (391).png,benign,2.374169040272039e-10,2.374169040272039e-10
benign (224).png,benign,2.5940337217654905e-10,2.5940337217654905e-10
benign (314).png,benign,3.2154340825673847e-10,3.2154340825673847e-10
malignant (81).png,malignant,5.125576624743425e-10,5.125576624743425e-10
malignant (147).png,malignant,6.887052336854646e-10,6.887052336854646e-10
benign (418).png,benign,1.3458950183769918e-09,1.3458950183769918e-09
benign (416).png,benign,1.3850415493281973e-09,1.3850415493281973e-09
benign (313).png,benign,1.5479876137028054e-09,1.5479876137028054e-09
malignant (106).png,malignant,0.010471204558537322,0.005263158268698061
malignant (177).png,malignant,0.06658047842060597,0.034436643343828434
benign (193).png,benign,0.11011235975053654,0.05826397168650083
malignant (157).png,malignant,0.1127071824293791,0.059718969677371975
benign (127).png,benign,0.13557983425884168,0.07271957087366286
malignant (116).png,malignant,0.15821110864193047,0.08590078352848543
malignant (192).png,malignant,0.24949535743853546,0.14252767547450929
benign (90).png,benign,0.27856659954119906,0.1618224672727239
benign (384).png,benign,0.3384615387442472,0.20370370411332112
benign (183).png,benign,0.35818337672820616,0.21816284006454817
benign (57).png,benign,0.3982387478482198,0.2486255349733503
malignant (95).png,malignant,0.41852487143178185,0.2646420825522039
benign (211).png,benign,0.454794521294802,0.2943262423859464
malignant (41).png,malignant,0.4972157356750106,0.3308630171334298
malignant (64).png,malignant,0.5169880626643766,0.34860681154885026
malignant (172).png,malignant,0.5202843998995839,0.35161107982822476
benign (317).png,benign,0.5499872807046585,0.37929824583182525
benign (371).png,benign,0.5508327782077505,0.380102979150404
benign (409).png,benign,0.5665095821824374,0.3951959323752787
benign (153).png,benign,0.5899280582914963,0.41836734842253226
malignant (99).png,malignant,0.5939216405734451,0.4223958336341688
malignant (140).png,malignant,0.6097229766961267,0.43856221929311145
malignant (98).png,malignant,0.6475735881880877,0.4788235300249135
benign (383).png,benign,0.6627505183720196,0.49560723527245293
malignant (61).png,malignant,0.6693989073296455,0.5030800826457084
malignant (203).png,malignant,0.6912038558778394,0.528121861478386
malignant (44).png,malignant,0.6918445540821869,0.52887029328128
benign (407).png,benign,0.6963157894896675,0.5341138474336605
malignant (194).png,malignant,0.6981356604921148,0.5362583791313714
malignant (79).png,malignant,0.7163131162446733,0.5580123356734538
benign (187).png,benign,0.7166666670601852,0.5584415593973127
malignant (91).png,malignant,0.7183462532602987,0.5604838710415854
benign (221).png,benign,0.7208480570303037,0.5635359128079118
malignant (195).png,malignant,0.7399827231218032,0.5872798228470331
benign (220).png,benign,0.7422950821362,0.5901981234721605
malignant (166).png,malignant,0.7446924334541686,0.5932350393814093
benign (436).png,benign,0.7693722091188111,0.6251867663553496
malignant (46).png,malignant,0.769926047752701,0.6259185039239021
benign (194).png,benign,0.7812500001708984,0.6410256414858646
malignant (118).png,malignant,0.7944481163478246,0.6589912281324942
malignant (34).png,malignant,0.7945387946072132,0.6591160222877812
benign (91).png,benign,0.7975708506122048,0.6632996644333344
malignant (24).png,malignant,0.7988294626860825,0.6650425046998713
malignant (69).png,malignant,0.8028785983094873,0.6706743336797312
benign (402).png,benign,0.8078694015036127,0.677668539552199
benign (109).png,benign,0.8085718019327621,0.6786576004214394
benign (169).png,benign,0.817275748115363,0.6910112376909481
malignant (104).png,malignant,0.823334587894367,0.6997185261387259
benign (140).png,benign,0.824164293222593,0.7009178990692354
malignant (115).png,malignant,0.8290526316149363,0.708018698414952
benign (62).png,benign,0.8310222509004336,0.7108965517640142
malignant (144).png,malignant,0.8327125506163178,0.7133740288833358
benign (420).png,benign,0.8406746356900812,0.7251412430154968
malignant (164).png,malignant,0.8484268300514255,0.7367545998815809
benign (87).png,benign,0.851823118811619,0.7418918922406866
benign (179).png,benign,0.854237288629704,0.7455621316830643
benign (15).png,benign,0.8566037738554646,0.7491749183195547
malignant (124).png,malignant,0.8594539939441974,0.7535460993243936
malignant (136).png,malignant,0.8609924417150863,0.7559145991021843
benign (358).png,benign,0.8622641509867094,0.7578772803991833
benign (226).png,benign,0.8627659575198053,0.7586529469049083
benign (83).png,benign,0.862869198456889,0.7588126164029451
malignant (182).png,malignant,0.8692083861919564,0.7686724729785336
benign (88).png,benign,0.870501836017013,0.7706978761288696
malignant (207).png,malignant,0.8726061615497355,0.7740029542653858
malignant (32).png,malignant,0.8731772832047988,0.7749020943683123
malignant (153).png,malignant,0.8738289996858827,0.7759292322856737
malignant (78).png,malignant,0.874001947444206,0.7762020063036312
benign (404).png,benign,0.8749431904304293,0.7776880091713668
benign (170).png,benign,0.8813146683258324,0.7878128401589701
malignant (129).png,malignant,0.881492256358283,0.7880966952426487
benign (137).png,benign,0.8838451269908609,0.7918660292060621
benign (29).png,benign,0.8882352944463667,0.7989418000055989
benign (59).png,benign,0.8922974325134053,0.805538832145973
malignant (38).png,malignant,0.8957528958333955,0.8111888114528828
benign (161).png,benign,0.8997289974258414,0.8177339905967143
benign (53).png,benign,0.9020217730155352,0.8215297452952837
benign (338).png,benign,0.9026548674720025,0.822580645876691
benign (245).png,benign,0.9031781227618787,0.8234501350088274
malignant (54).png,malignant,0.9052361066799756,0.8268779343738979
benign (64).png,benign,0.9053931659157928,0.8271400631994027
benign (159).png,benign,0.9064220185203266,0.828859060976983
benign (39).png,benign,0.9068413392235507,0.829560586112436
malignant (202).png,malignant,0.9125095098453962,0.8390965421069165
benign (253).png,benign,0.9130816506088316,0.8400646204846005
benign (134).png,benign,0.9136163983695221,0.840970350832964
benign (115).png,benign,0.9166666667455807,0.846153846422808
malignant (150).png,malignant,0.9173972492593342,0.8473997028345172
benign (337).png,benign,0.917775090738951,0.8480446929072126
benign (241).png,benign,0.9180327869126689,0.8484848485785499
benign (167).png,benign,0.9183006537282669,0.8489425986436779
benign (151).png,benign,0.9190140846496231,0.8501628669375803
benign (78).png,benign,0.920162381704787,0.8521303261851371
benign (389).png,benign,0.9218626677806925,0.8550512447217405
benign (370).png,benign,0.9222052734885372,0.8556409219863241
benign (46).png,benign,0.9230769232145315,0.8571428576174656
benign (106).png,benign,0.9234135667954678,0.8577235774285589
benign (145).png,benign,0.9267803410965092,0.863551402124203
benign (148).png,benign,0.9281567489375339,0.8659444821489882
benign (244).png,benign,0.9283625731517817,0.8663028651210056
benign (185).png,benign,0.9293849659922894,0.8680851069443187
malignant (131).png,malignant,0.9300441826472592,0.8692360634072704
benign (56).png,benign,0.9328185328358254,0.8740955138089266
malignant (183).png,malignant,0.9333024905595418,0.8749457857633446
benign (365).png,benign,0.9337938975625827,0.8758099353392981
benign (125).png,benign,0.9339477727589128,0.8760806919997675
benign (274).png,benign,0.9340909090983988,0.8763326226276477
benign (112).png,benign,0.9348314607473803,0.8776371310598373
benign (102).png,benign,0.9352127948128998,0.8783095723633861
benign (229).png,benign,0.9381860196596805,0.8835690969077427
benign (307).png,benign,0.9388888889313272,0.884816754077465
benign (98).png,benign,0.9400834281418226,0.8869409660242169
benign (80).png,benign,0.9401483050887084,0.8870564717782289
benign (350).png,benign,0.9440273936594196,0.8939885258433553
benign (40).png,benign,0.9453183521008851,0.8963068183291096
benign (2).png,benign,0.9457295373906897,0.8970464135889904
benign (95).png,benign,0.945848375516428,0.8972602742071684
benign (399).png,benign,0.9475620975221295,0.9003496503714271
